time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,ADX
1577454900,28318,28318,28318,28318,28335.7464,NaN,NaN,NaN,NaN,28318,1,1.7,25.891446542658702
1577455800,28317,28317,28317,28317,28333.616832,NaN,NaN,NaN,NaN,28317,1,1.7,24.698345560705302
1577456700,28321,28321,28321,28321,28331.29047552,NaN,NaN,NaN,NaN,28321,4,1.7,23.87940220430667
1577457300,28305,28306,28305,28306,28329.2898089472,NaN,NaN,NaN,NaN,28305.5,3,1.8,22.53060591867693
1577457600,28312,28312,28303,28303,28325.40343951565,NaN,NaN,NaN,NaN,28307.5,28,3.05,21.022231985908434
1577457900,28295,28295,28295,28295,28321.370820402833,NaN,NaN,NaN,NaN,28295,2,3.1,20.00348048998226
1577458200,28288,28288,28288,28288,28316.09665632227,NaN,NaN,NaN,NaN,28288,1,3.05,19.527575025698745
1577458500,28282,28282,28282,28282,28310.477325057815,NaN,NaN,NaN,NaN,28282,1,3,19.464285869244918
1577458800,28287,28295,28287,28295,28304.781860046252,NaN,NaN,NaN,NaN,28291,2,3.05,18.34708151396147
1577459100,28285,28298,28285,28298,28300.225488037002,NaN,NaN,NaN,NaN,28291.5,2,3.1,17.086417769941292
1577459400,28295,28295,28295,28295,28298,NaN,NaN,NaN,NaN,28295,1,3,15.915801436208271
1577459700,28297,28297,28295,28295,28282,28282,28282,NaN,NaN,28296,2,3,14.89273020485156
1577460000,28295,28301,28295,28301,28283.5,NaN,NaN,NaN,NaN,28298,3,3.1,14.271033729075183
1577460300,28297,28297,28297,28297,28285.6,NaN,NaN,NaN,NaN,28297,1,3.05,13.693744144425693
1577460600,28295,28295,28295,28295,28287.448,NaN,NaN,NaN,NaN,28295,1,3.05,12.95767817647097
1577461200,28307,28309,28306,28309,28289.07424,NaN,NaN,NaN,NaN,28307.75,17,3.8,13.418498153859934
1577461500,28310,28310,28310,28310,28291.863846400003,NaN,NaN,NaN,NaN,28310,1,3.8,13.918905075720037
1577462100,28327,28327,28327,28327,28294.765630976002,NaN,NaN,NaN,NaN,28327,1,3.75,15.448622281019444
1577462400,28328,28328,28328,28328,28300.567817400322,NaN,NaN,NaN,NaN,28328,2,3.8,16.923257974339382
1577462700,28331,28331,28330,28330,28306.054253920258,NaN,NaN,NaN,NaN,28330.5,2,3.8,18.459247688010663
1577463000,28330,28330,28330,28330,28311.043403136206,NaN,NaN,NaN,NaN,28330,2,3.85,19.885523850705425
1577463300,28328,28329,28327,28329,28315.034722508964,NaN,NaN,NaN,NaN,28328.25,23,4.95,20.808197896811482
1577463900,28335,28335,28335,28335,28318.22777800717,NaN,NaN,NaN,NaN,28335,1,4.8,22.051191391105014
1577464200,28335,28335,28335,28335,28321.582222405737,NaN,NaN,NaN,NaN,28335,1,4.7,23.205399635806153
1577464500,28330,28337,28330,28337,28324.26577792459,NaN,NaN,NaN,NaN,28333.5,5,3.55,23.56481643038215
1577464800,28337,28337,28336,28336,28326.812622339672,NaN,NaN,NaN,NaN,28336.5,2,3.55,23.89856059677415
1577466000,28325,28326,28324,28325,28337,NaN,NaN,28337,28337,28325,20,4.5,22.676460821706556
1577466300,28326,28327,28318,28318,28337,NaN,NaN,NaN,NaN,28322.25,16,5.25,21.201972468725323
1577467200,28311,28311,28311,28311,28334.72,NaN,NaN,NaN,NaN,28311,1,5.2,20.490867800010278
1577468100,28305,28305,28305,28305,28331.3992,NaN,NaN,NaN,NaN,28305,2,5.2,20.336918517890147
1577468400,28315,28315,28315,28315,28327.175328,NaN,NaN,NaN,NaN,28315,1,5.2,19.13412531279798
1577469600,28321,28321,28317,28317,28323.62727552,NaN,NaN,NaN,NaN,28319,2,5.2,18.07162068656304
1577471100,28309,28309,28304,28304,28321,NaN,NaN,NaN,NaN,28306.5,3,5.2,17.585046707037087
1577471400,28305,28305,28305,28305,28321,NaN,NaN,NaN,NaN,28305,1,5.2,17.133228011762984
1577472300,28303,28303,28303,28303,28317.94,NaN,NaN,NaN,NaN,28303,1,5.2,16.877667761172223
1577472600,28307,28307,28305,28306,28314.951999999997,NaN,NaN,NaN,NaN,28306.25,6,4.65,16.21224992885164
1577472900,28312,28312,28303,28303,28312.561599999997,NaN,NaN,NaN,NaN,28307.5,4,4.8,15.084688394126635
