time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,PSAR,Long Start,Buy Label,Short Start,Sell Label,,PSAR,Long Start,Buy Label,Short Start,Sell Label,,ADX,RSI
1584948300,21333,21333,21333,21333,NaN,NaN,NaN,NaN,NaN,NaN,1,5.9,21308.2,NaN,NaN,NaN,NaN,21333,21308.2,NaN,NaN,NaN,NaN,21333,23.54541925214649,43.15507410696197
1584948600,21300,21300,21257,21257,NaN,NaN,NaN,NaN,NaN,NaN,6,6.15,21421,NaN,NaN,21421,21421,21278.5,21421,NaN,NaN,21421,21421,21278.5,23.99580245193034,38.87214481567202
1584948900,21234,21234,21234,21234,NaN,NaN,NaN,NaN,NaN,NaN,2,5.9,21388.2,NaN,NaN,NaN,NaN,21234,21388.2,NaN,NaN,NaN,NaN,21234,24.575064295241784,37.65421690015351
1584949200,21274,21274,21254,21254,NaN,NaN,NaN,NaN,NaN,NaN,2,5.75,21352.734,NaN,NaN,NaN,NaN,21264,21351.192,NaN,NaN,NaN,NaN,21264,24.57717133750626,39.431341500211225
1584949500,21259,21259,21195,21195,NaN,NaN,NaN,NaN,NaN,NaN,5,3.6,21325.425180000002,NaN,NaN,NaN,NaN,21227,21323.06592,NaN,NaN,NaN,NaN,21227,25.02466459532669,36.15709740527031
1584949800,21194,21219,21194,21219,NaN,NaN,NaN,NaN,NaN,NaN,3,3.65,21291.5146332,NaN,NaN,NaN,NaN,21206.5,21287.2074624,NaN,NaN,NaN,NaN,21206.5,25.44764235876012,38.3979265484963
1584950100,21229,21238,21229,21238,NaN,NaN,NaN,NaN,NaN,NaN,3,3.75,21263.235389572,NaN,NaN,NaN,NaN,21233.5,21259.24522368,NaN,NaN,NaN,NaN,21233.5,25.560476294437002,40.18776243882567
1584950400,21285,21285,21285,21285,NaN,NaN,NaN,NaN,NaN,NaN,1,3.75,21194,21194,21194,NaN,NaN,21285,21194,21194,21194,NaN,NaN,21285,24.99525929862993,44.48470432170629
1584951300,21160,21220,21160,21220,NaN,NaN,NaN,NaN,NaN,NaN,2,3.75,21285,NaN,NaN,21285,21285,21190,21285,NaN,NaN,21285,21285,21190,25.49730737888095,40.18504477504176
1584951600,21155,21155,21114,21114,NaN,NaN,NaN,NaN,NaN,NaN,3,3.85,21285,NaN,NaN,NaN,NaN,21134.5,21285,NaN,NaN,NaN,NaN,21134.5,26.277678657001008,34.353638568310956
1584951900,21079,21079,21030,21047,NaN,NaN,NaN,NaN,NaN,NaN,4,4,21245.67,NaN,NaN,NaN,NaN,21058.75,21243.96,NaN,NaN,NaN,NaN,21058.75,27.514953931558118,31.26529900253186
1584954900,21159,21159,21157,21157,NaN,NaN,NaN,NaN,NaN,NaN,10,4.45,21189.5958,NaN,NaN,NaN,NaN,21158,21184.051199999998,NaN,NaN,NaN,NaN,21158,27.599506794221508,40.69215762116712
1584955200,21142,21151,21142,21151,NaN,NaN,NaN,NaN,NaN,NaN,2,4.35,21030,21030,21030,NaN,NaN,21146.5,21030,21030,21030,NaN,NaN,21146.5,27.782542089176015,40.36695043336638
1584955500,21126,21126,21126,21126,NaN,NaN,NaN,NaN,NaN,NaN,1,4.35,21054.2,NaN,NaN,NaN,NaN,21126,21054.2,NaN,NaN,NaN,NaN,21126,28.0673969286523,38.96946495869847
1584955800,21181,21204,21181,21204,NaN,NaN,NaN,NaN,NaN,NaN,2,3.35,21073.56,NaN,NaN,NaN,NaN,21192.5,21073.56,NaN,NaN,NaN,NaN,21192.5,27.316574727544975,45.32889888675062
1584956400,21225,21225,21223,21223,NaN,NaN,NaN,NaN,NaN,NaN,2,3.25,21103.5612,NaN,NaN,NaN,NaN,21224,21104.8656,NaN,NaN,NaN,NaN,21224,26.36471872503679,46.783556586345924
1584956700,21297,21297,21297,21297,NaN,NaN,NaN,NaN,NaN,NaN,1,3.05,21135.135288,NaN,NaN,NaN,NaN,21297,21138.503232,NaN,NaN,NaN,NaN,21297,24.66089339962981,52.126283040799706
1584957900,21254,21254,21254,21254,NaN,NaN,NaN,NaN,NaN,NaN,1,2.65,21182.07605448,NaN,NaN,NaN,NaN,21254,21186.0522624,NaN,NaN,NaN,NaN,21254,23.502357249760724,49.04498893660892
1584960900,21287,21287,21280,21280,NaN,NaN,NaN,NaN,NaN,NaN,16,3.4,21215.4039986808,NaN,NaN,NaN,NaN,21283.5,21219.33658368,NaN,NaN,NaN,NaN,21283.5,22.05579855274207,50.93363197767673
1584961200,21260,21270,21260,21270,NaN,NaN,NaN,NaN,NaN,NaN,3,3.5,21239.066839063365,NaN,NaN,NaN,NaN,21265,21242.635608576,NaN,NaN,NaN,NaN,21265,20.92193047662005,50.16350525395479
1584961500,21267,21267,21267,21267,NaN,NaN,NaN,NaN,NaN,NaN,1,3.5,21255.867455734988,NaN,NaN,NaN,NaN,21267,21258.9449260032,NaN,NaN,NaN,NaN,21267,19.869052977363893,49.919648379212326
1584961800,21250,21250,21250,21250,NaN,NaN,NaN,NaN,NaN,NaN,1,3.25,21297,NaN,NaN,21297,21297,21250,21297,NaN,NaN,21297,21297,21250,19.08571602318004,48.48139762979195
1584962100,21220,21220,21220,21220,NaN,NaN,NaN,NaN,NaN,NaN,10,3.65,21287.6,NaN,NaN,NaN,NaN,21220,21287.6,NaN,NaN,NaN,NaN,21220,18.698214221402676,45.96462584021138
1584963300,21147,21147,21134,21134,NaN,NaN,NaN,NaN,NaN,NaN,3,3.7,21272.052,NaN,NaN,NaN,NaN,21140.5,21271.376,NaN,NaN,NaN,NaN,21140.5,19.194767471500583,39.61572940862515
1584963600,21143,21143,21143,21143,NaN,NaN,NaN,NaN,NaN,NaN,1,3.5,21236.15848,NaN,NaN,NaN,NaN,21143,21232.91072,NaN,NaN,NaN,NaN,21143,19.655852632305777,40.54131913337358
1584964200,21159,21159,21145,21145,NaN,NaN,NaN,NaN,NaN,NaN,2,3.45,21209.597275199998,NaN,NaN,NaN,NaN,21152,21205.2157184,NaN,NaN,NaN,NaN,21152,19.82291447029457,40.75863524443471
1584964500,21160,21160,21160,21160,NaN,NaN,NaN,NaN,NaN,NaN,1,3.35,21189.941983647997,NaN,NaN,NaN,NaN,21160,21185.275317248,NaN,NaN,NaN,NaN,21160,19.961014605099827,42.457319609047715
1584964800,21300,21500,21300,21500,NaN,NaN,NaN,NaN,NaN,NaN,9,3.75,21134,21134,21134,NaN,NaN,21400,21134,21134,21134,NaN,NaN,21400,20.60860730125312,66.15014290409354
1584965100,21558,21558,21460,21530,NaN,NaN,NaN,NaN,NaN,NaN,6,3.95,21160,NaN,NaN,NaN,NaN,21526.5,21160,NaN,NaN,NaN,NaN,21526.5,21.570742160394992,67.42465164203716
1584965400,21554,21763,21554,21710,NaN,NaN,NaN,NaN,NaN,NaN,15,4.55,21251.54,NaN,NaN,NaN,NaN,21645.25,21255.52,NaN,NaN,NaN,NaN,21645.25,23.467842582277157,73.79904704061677
1584965700,21774,21948,21774,21899,NaN,NaN,NaN,NaN,NaN,NaN,19,5.3,21384.5196,NaN,NaN,NaN,NaN,21848.75,21397.6144,NaN,NaN,NaN,NaN,21848.75,25.865243128198586,78.54615448642116
1584966000,21899,22083,21899,22055,NaN,NaN,NaN,NaN,NaN,NaN,9,5.25,21547.928916,NaN,NaN,NaN,NaN,21984,21554,NaN,NaN,NaN,NaN,21984,28.45612564987188,81.52202380049006
1584966300,22055,22055,22047,22047,NaN,NaN,NaN,NaN,NaN,NaN,3,5.3,21708.4502412,NaN,NaN,NaN,NaN,22051,21712.7,NaN,NaN,NaN,NaN,22051,30.86194513428279,80.90226959359659
1584966600,21850,21850,21810,21810,NaN,NaN,NaN,NaN,NaN,NaN,3,5.4,22083,NaN,NaN,22083,22083,21830,22083,NaN,NaN,22083,22083,21830,30.839718002578238,65.11027159810055
1584966900,21839,21839,21839,21839,NaN,NaN,NaN,NaN,NaN,NaN,1,5.35,22055,NaN,NaN,NaN,NaN,21839,22055,NaN,NaN,NaN,NaN,21839,30.819078523138288,65.98521201456664
1584967200,21907,21973,21907,21940,NaN,NaN,NaN,NaN,NaN,NaN,6,5.55,22006,NaN,NaN,NaN,NaN,21931.75,22006,NaN,NaN,NaN,NaN,21931.75,31.361835511883957,68.90947855513873
1584967500,21950,21956,21950,21956,NaN,NaN,NaN,NaN,NaN,NaN,2,5.6,21973,NaN,NaN,NaN,NaN,21953,21973,NaN,NaN,NaN,NaN,21953,31.86582414429065,69.35888270284002
1584967800,21915,22003,21915,21989,NaN,NaN,NaN,NaN,NaN,NaN,5,5.8,21810,21810,21810,NaN,NaN,21955.5,21810,21810,21810,NaN,NaN,21955.5,32.527573052739314,70.31204742143912
1584968100,22015,22021,22015,22021,NaN,NaN,NaN,NaN,NaN,NaN,2,5.1,21848.6,NaN,NaN,NaN,NaN,22018,21848.6,NaN,NaN,NaN,NaN,22018,33.217084835219254,71.24611982546716
1584968400,22015,22015,21990,21990,NaN,NaN,NaN,NaN,NaN,NaN,3,5.1,21888.252,NaN,NaN,NaN,NaN,22002.5,21889.976,NaN,NaN,NaN,NaN,22002.5,33.59334746712888,68.98183308311404
1584969000,21911,21911,21883,21883,NaN,NaN,NaN,NaN,NaN,NaN,4,5.25,22021,NaN,NaN,22021,22021,21897,22021,NaN,NaN,22021,22021,21897,32.884348570335476,61.69367753386272
1584969300,21850,21854,21850,21854,NaN,NaN,NaN,NaN,NaN,NaN,3,5.35,22015,NaN,NaN,NaN,NaN,21852,22015,NaN,NaN,NaN,NaN,21852,31.922850438781396,59.84810050165379
1584969600,21820,21820,21787,21791,NaN,NaN,NaN,NaN,NaN,NaN,8,5.25,21977.05,NaN,NaN,NaN,NaN,21804.5,21975.4,NaN,NaN,NaN,NaN,21804.5,30.467841530320545,55.93347219116049
1584969900,21754,21757,21751,21751,NaN,NaN,NaN,NaN,NaN,NaN,4,5.3,21927.637,NaN,NaN,NaN,NaN,21753.25,21922.648,NaN,NaN,NaN,NaN,21753.25,28.806195737291677,53.5389749617347
1584970200,21620,21696,21593,21696,NaN,NaN,NaN,NaN,NaN,NaN,7,5.6,21876.41227,NaN,NaN,NaN,NaN,21651.25,21871.1536,NaN,NaN,NaN,NaN,21651.25,27.425208046098078,50.34738659901538
1584970500,21632,21632,21460,21460,NaN,NaN,NaN,NaN,NaN,NaN,6,5.8,21791.388589000002,NaN,NaN,NaN,NaN,21546,21787.70752,NaN,NaN,NaN,NaN,21546,26.942045580313938,39.4736638381134
1584970800,21477,21477,21477,21477,NaN,NaN,NaN,NaN,NaN,NaN,1,5.8,21696,NaN,NaN,NaN,NaN,21477,21696,NaN,NaN,NaN,NaN,21477,26.493394719228665,40.47102246494514
1584971100,21500,21590,21500,21590,NaN,NaN,NaN,NaN,NaN,NaN,5,5.6,21632,NaN,NaN,NaN,NaN,21545,21632,NaN,NaN,NaN,NaN,21545,25.14112852619041,46.75196414807271
