time,open,high,low,close
1602227400,24064,24064,24063,24063
1602228000,24066,24066,24066,24066
1602228300,24088,24088,24088,24088
1602228600,24091,24091,24091,24091
1602229200,24070,24070,24070,24070
1602230100,24086,24086,24076,24076
1602230700,24022,24022,24018,24018
1602231000,24013,24090,24013,24035
1602231300,24034,24034,24034,24034
1602231600,24042,24042,24030,24030
1602231900,24030,24030,24020,24025
1602236400,24043,24043,24042,24042
1602252000,24119,24119,24119,24119
1602253500,24129,24129,24129,24129
1602253800,24168,24168,24168,24168
1602254100,24170,24171,24170,24171
1602254400,24169,24169,24162,24165
1602254700,24182,24182,24182,24182
1602255000,24178,24178,24178,24178
1602255900,24197,24200,24197,24200
1602256200,24200,24214,24200,24214
1602256500,24215,24215,24215,24215
1602257100,24208,24217,24208,24217
1602258600,24231,24231,24231,24231
1602259200,24225,24225,24225,24225
1602261300,24217,24217,24217,24217
1602262200,24216,24216,24216,24216
1602262800,24225,24225,24225,24225
1602263400,24230,24230,24230,24230
1602264900,24220,24220,24220,24220
1602268500,24200,24200,24200,24200
1602268800,24190,24190,24190,24190
1602465300,24167,24200,24142,24153
1602465600,24166,24168,24143,24168
1602465900,24193,24195,24163,24163
1602466200,24150,24299,24150,24267
1602466500,24276,24393,24276,24393
1602466800,24411,24433,24409,24409
1602467100,24428,24455,24400,24433
1602467400,24434,24450,24424,24450
1602467700,24477,24477,24470,24470
1602468000,24460,24461,24452,24461
1602468300,24472,24495,24470,24471
1602468600,24483,24490,24476,24482
1602468900,24466,24466,24437,24437
1602469200,24441,24441,24406,24406
1602469500,24413,24426,24413,24426
1602469800,24420,24458,24420,24456
1602470100,24441,24441,24400,24407
1602470400,24430,24431,24430,24431
1602471900,24471,24471,24471,24471
1602472500,24429,24429,24411,24411
1602472800,24437,24445,24437,24445
1602473100,24453,24453,24453,24453
1602473400,24467,24521,24467,24510
1602473700,24516,24520,24507,24507
1602474000,24525,24545,24525,24545
1602474300,24571,24582,24570,24582
1602474600,24572,24581,24571,24581
1602478800,24600,24656,24600,24656
1602479100,24659,24679,24659,24675
1602479400,24684,24690,24659,24659
