time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA
1574403900,26600,26600,26600,26600,26622.007999999998,NaN,NaN,NaN,NaN,26600,1,6.9
1574404200,26604,26604,26603,26603,26618.40704,NaN,NaN,NaN,NaN,26603.5,4,6.9
1574404800,26612,26612,26612,26612,26615.2381952,NaN,NaN,NaN,NaN,26612,1,6.7
1574406000,26602,26602,26598,26598,26612.449611776,NaN,NaN,NaN,NaN,26600,5,6.35
1574406300,26616,26618,26616,26618,26592,26592,26592,NaN,NaN,26617,23,7.1
1574406900,26633,26633,26633,26633,26594.6,NaN,NaN,NaN,NaN,26633,1,7.1
1574408100,26633,26633,26633,26633,26599.208,NaN,NaN,NaN,NaN,26633,1,7.1
1574409000,26638,26638,26630,26630,26603.263039999998,NaN,NaN,NaN,NaN,26634,2,6.9
1574409900,26680,26730,26680,26730,26608.1262144,NaN,NaN,NaN,NaN,26705,7,6.45
1574410200,26698,26698,26698,26698,26627.626020096,NaN,NaN,NaN,NaN,26698,2,6.3
1574410500,26708,26723,26708,26717,26644.005856880638,NaN,NaN,NaN,NaN,26714,42,8.35
1574411100,26715,26715,26705,26706,26657.764919779736,NaN,NaN,NaN,NaN,26710.25,44,10.5
1574414100,26670,26670,26670,26670,26669.322532614977,NaN,NaN,NaN,NaN,26670,1,10.15
1574430300,26719,26719,26719,26719,26670,NaN,NaN,NaN,NaN,26719,1,10
1574433000,26707,26707,26707,26707,26670,NaN,NaN,NaN,NaN,26707,1,7.85
1574433300,26739,26739,26739,26739,26679.6,NaN,NaN,NaN,NaN,26739,1,7.85
1574435100,26717,26717,26717,26717,26690.291999999998,NaN,NaN,NaN,NaN,26717,1,7.85
1574436000,26701,26701,26701,26701,26699.059439999997,NaN,NaN,NaN,NaN,26701,2,7.9
1574436900,26680,26680,26680,26680,26739,NaN,NaN,26739,26739,26680,1,7.85
1574644500,26719,26900,26719,26900,26680,26680,26680,NaN,NaN,26809.5,13,7.7
1574644800,26950,26955,26950,26955,26680,NaN,NaN,NaN,NaN,26952.5,2,7.75
1574645100,26944,26972,26943,26951,26713,NaN,NaN,NaN,NaN,26952.5,9,8
1574645400,26981,26981,26949,26949,26749.26,NaN,NaN,NaN,NaN,26965,23,9.1
1574645700,27001,27138,27001,27096,26786.338399999997,NaN,NaN,NaN,NaN,27059,11,9.4
1574646000,27105,27126,27105,27126,26849.637487999997,NaN,NaN,NaN,NaN,27115.5,3,8.4
1574646300,27116,27116,27085,27085,26901.542740159995,NaN,NaN,NaN,NaN,27100.5,2,8.45
1574646600,27077,27077,27077,27077,26944.105046931196,NaN,NaN,NaN,NaN,27077,2,8.5
1574646900,27105,27118,27105,27114,26979.00613848358,NaN,NaN,NaN,NaN,27110.5,5,8.65
1574647200,27113,27137,27113,27137,27007.625033556535,NaN,NaN,NaN,NaN,27125,2,8.4
1574647800,27122,27122,27122,27122,27031.092527516357,NaN,NaN,NaN,NaN,27122,1,8.35
1574648100,27159,27167,27159,27161,27050.335872563413,NaN,NaN,NaN,NaN,27161.5,4,6.45
1574648400,27173,27198,27173,27198,27073.66869805073,NaN,NaN,NaN,NaN,27185.5,7,4.6
1574648700,27188,27188,27188,27188,27098.534958440585,NaN,NaN,NaN,NaN,27188,1,4.6
1574649000,27198,27198,27188,27188,27118.427966752468,NaN,NaN,NaN,NaN,27193,2,4.65
1574650200,27155,27155,27150,27150,27134.342373401974,NaN,NaN,NaN,NaN,27152.5,6,4.9
1574651400,27176,27176,27176,27176,27147.07389872158,NaN,NaN,NaN,NaN,27176,3,5
1574653500,27178,27178,27168,27168,27150,NaN,NaN,NaN,NaN,27173,3,5.1
1574658600,27124,27124,27124,27124,27198,NaN,NaN,27198,27198,27124,1,5.05
1574658900,27098,27110,27098,27110,27190.6,NaN,NaN,NaN,NaN,27104,3,5.15
