time,open,high,low,close,MA,MA,Volume,Volume MA,HKEX:HSI2!: Compare,HKEX:HSI1!: Compare,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1578015900,28795,28795,28755,28755,28791.937168261495,28796,16,8.05,NaN,NaN,28743.8335747584,NaN,0.022769434815891332,37.379626009558464,49.04173042464576,30.419273545244835
1578016200,28741,28741,28700,28700,28773.549734609194,28796,9,8.4,NaN,NaN,28904,NaN,0.022473576685800856,36.05207510284835,44.97626924954175,36.1873763321559
1578016500,28700,28709,28679,28680,28754.839787687357,28795,7,8.7,NaN,NaN,28899.92,NaN,0.02106342129435168,34.57239457332352,42.93279955682729,37.72363251456709
1578016800,28674,28713,28674,28713,28746.471830149887,28787.555555555555,13,9.25,NaN,NaN,28891.083199999997,NaN,0.018772636312784363,33.11460856577064,40.419765853270974,36.26595028184851
1578017100,28730,28730,28695,28695,28736.177464119908,28769.11111111111,3,9.35,NaN,NaN,28878.058208,NaN,0.0157341138694439,31.88973760145757,40.846896857654976,34.365686212492214
1578017400,28674,28674,28674,28674,28723.741971295927,28751.11111111111,1,9.35,NaN,NaN,28865.81471552,NaN,0.011961250230672071,30.49722371146375,39.538432235626956,36.468175855250585
1578017700,28672,28672,28654,28654,28709.79357703674,28724.88888888889,3,9.35,NaN,NaN,28854.305832588798,NaN,0.007318311636312358,28.981269036487873,38.308214669092834,38.44493521766154
1578018000,28644,28644,28628,28628,28693.434861629394,28698.222222222223,5,9.55,NaN,NaN,28838.281365981693,NaN,0.0013891585192765676,27.803433884540443,36.74375019318614,40.958774951409296
1578018300,28638,28638,28596,28607,28676.147889303516,28678.444444444445,16,10.1,NaN,NaN,28817.253229383525,NaN,-0.005591694349190712,26.98595184877063,34.357850833195904,43.24649171945018
1578018600,28597,28616,28555,28616,28664.118311442813,28663,9,10.45,NaN,NaN,28790.702841857503,NaN,-0.013428323506267104,26.55986328475843,31.25510278145816,45.41084109300413
1578018900,28612,28612,28600,28600,28651.29464915425,28651.88888888889,2,10.4,NaN,NaN,28757.704443997452,NaN,-0.02187491434142541,26.155079148946832,30.494755120388078,44.30612462306585
1578019200,28572,28572,28500,28503,28621.6357193234,28632.222222222223,7,10.65,NaN,NaN,28729.32582183781,NaN,-0.031392444484112936,26.48907856581649,26.287515591083487,51.98998609698017
1578019500,28500,28505,28459,28494,28596.10857545872,28607.88888888889,107,15.95,NaN,NaN,28692.633690343762,NaN,-0.04166060896660384,27.043771455975207,24.641359621041044,54.315765842961206
1578019800,28500,28530,28500,28524,28581.686860366975,28588.88888888889,23,17.05,NaN,NaN,28650.579626081886,NaN,-0.05210031666628201,27.272155442685335,26.839245310955622,51.651220645827
1578020100,28502,28565,28502,28553,28575.94948829358,28575.444444444445,22,17.95,NaN,NaN,28616.095293387145,NaN,-0.062160751151928983,27.093517054450995,29.219193040855213,47.3704755126428
1578020400,28570,28585,28540,28540,28568.759590634865,28562.777777777777,19,17.95,NaN,NaN,28587.81814057746,NaN,-0.07169164302695874,26.707964113562873,30.112290019456527,44.591774036142
1578021000,28505,28518,28505,28518,28558.607672507893,28550.555555555555,3,17.6,NaN,NaN,28585,NaN,-0.08050162420305762,26.585168499307827,28.73241969615715,47.130809314587864
1578021300,28500,28502,28480,28489,28544.686138006313,28537.444444444445,26,18.45,NaN,NaN,28585,NaN,-0.08833734015661565,26.633049503090273,27.30257131816518,48.059344442033805
1578021600,28500,28500,28470,28470,28529.74891040505,28521.222222222223,6,15.4,NaN,NaN,28562.32,NaN,-0.09501749964963668,26.743615024594938,26.2183038428553,47.47453011446926
1578021900,28508,28508,28508,28508,28525.39912832404,28511,4,15.05,NaN,NaN,28543.7224,NaN,-0.09991719358655338,26.752653031662852,25.958532982591574,45.08713523179007
1578022200,28520,28520,28510,28510,28522.31930265923,28511.777777777777,25,15.5,NaN,NaN,28528.472368,NaN,-0.10296116689261114,26.61535267707464,27.175875801592447,44.345841163550766
1578022500,28510,28510,28510,28510,28519.855442127384,28513.555555555555,6,15.35,NaN,NaN,28520,NaN,-0.1040850885559036,26.484917340215837,27.175875801592447,44.345841163550766
1578022800,28489,28489,28489,28489,28513.68435370191,28509.666666666668,2,15.1,NaN,NaN,28520,NaN,-0.1034413787124211,26.523146247240227,26.336255842718653,46.06531997242422
1578023100,28510,28515,28510,28515,28513.94748296153,28505.444444444445,5,14.7,NaN,NaN,28459,NaN,-0.10065088189775584,26.224264721759045,29.1875326383595,44.282285734567594
1578023400,28520,28520,28520,28520,28515.157986369224,28503.222222222223,1,14.6,NaN,NaN,28460.12,NaN,-0.09617990648010111,25.87672631841097,29.738059836249654,43.93801581162987
1578023700,28510,28520,28510,28520,28516.126389095378,28503.444444444445,2,14.65,NaN,NaN,28462.515199999998,NaN,-0.09025467250781849,25.634283658404296,29.259168019813416,44.84081934315891
1578027600,28500,28500,28488,28488,28510.501111276302,28503.333333333332,14,15.2,NaN,NaN,28464.814592,NaN,-0.08339516188700768,25.593164734176746,27.753698313615775,46.071016563890076
1578027900,28485,28485,28480,28480,28504.400889021043,28504.444444444445,4,15.15,NaN,NaN,28467.02200832,NaN,-0.07580925048381926,25.621811395175968,27.382926836278028,46.79147293817156
1578028200,28450,28464,28438,28464,28496.320711216835,28499.555555555555,3,14.5,NaN,NaN,28520,NaN,-0.06752979352062705,25.98320896462754,25.500291130967405,50.44967476124596
1578028800,28476,28476,28476,28476,28492.25656897347,28495.777777777777,5,14.3,NaN,NaN,28518.36,NaN,-0.05838793180472812,26.150488119619126,27.00954005785144,49.427642344597025
1578029100,28479,28479,28479,28479,28489.605255178776,28492.333333333332,1,14.25,NaN,NaN,28516.752800000002,NaN,-0.04854340365856469,26.264614998969627,27.39660127234374,49.16553242926624
1578029400,28487,28500,28487,28496,28490.88420414302,28493.11111111111,13,14.55,NaN,NaN,28515.177744,NaN,-0.03789018782946074,26.061216072733078,30.12682639466697,47.31667997685829
1578029700,28510,28510,28510,28510,28494.707363314417,28492.555555555555,1,9.25,NaN,NaN,28513.63418912,NaN,-0.026440727000856534,25.72280973474135,31.18872477822371,46.10013317135525
1578030000,28502,28502,28502,28502,28496.165890651533,28490.555555555555,5,8.35,NaN,NaN,28512.1215053376,NaN,-0.014395695118070151,25.480484942993968,30.71373362838034,46.92100545463688
1578030600,28480,28480,28480,28480,28492.932712521226,28486.11111111111,1,7.3,NaN,NaN,28510.639075230847,NaN,-0.0028705758905167578,25.462860293594993,29.41687246156131,49.16222065929286
1578030900,28477,28477,28477,28477,28489.74617001698,28484.88888888889,2,6.45,NaN,NaN,28509.18629372623,NaN,0.007316214398360166,25.47477062292904,29.239654361713324,49.468486210364745
