time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,ADX
1582683900,26242,26242,26233,26233,26130.423709984847,NaN,NaN,NaN,NaN,26237.5,15,6.75,27.3245496056196
1582684200,26288,26288,26288,26288,26158.33896798788,NaN,NaN,NaN,NaN,26288,1,6.75,27.54840044347024
1582684500,26280,26280,26280,26280,26184.271174390302,NaN,NaN,NaN,NaN,26280,1,6.65,27.58620929016683
1582684800,26256,26256,26256,26256,26205.016939512243,NaN,NaN,NaN,NaN,26256,1,6.65,27.111972778957234
1582685400,26230,26230,26228,26228,26221.613551609793,NaN,NaN,NaN,NaN,26229,4,6.8,26.106803029242094
1582685700,26248,26248,26248,26248,26228,NaN,NaN,NaN,NaN,26248,1,6.7,25.44239944041814
1582686000,26292,26300,26292,26300,26228,NaN,NaN,NaN,NaN,26296,26,7.95,25.530964408912077
1582686600,26313,26344,26313,26343,26242.4,NaN,NaN,NaN,NaN,26328.25,24,9.1,26.124458517461818
1582686900,26336,26338,26336,26338,26262.72,NaN,NaN,NaN,NaN,26337,3,9.2,26.675560189686575
1582687200,26318,26319,26318,26319,26278.976000000002,NaN,NaN,NaN,NaN,26318.5,4,9.35,26.764102805705686
1582687500,26330,26330,26330,26330,26291.9808,NaN,NaN,NaN,NaN,26330,3,9.4,26.992078773256285
1582687800,26300,26310,26297,26306,26344,NaN,NaN,26344,26344,26303.25,46,8.95,26.425944903219257
1582688100,26306,26325,26306,26325,26339.3,NaN,NaN,NaN,NaN,26315.5,17,8.45,26.128031684758422
1582689300,26359,26364,26359,26364,26297,26297,26297,NaN,NaN,26361.5,4,8.6,26.403182753564863
1582693200,26347,26347,26345,26345,26303.7,NaN,NaN,NaN,NaN,26346,3,8.65,26.315238257624724
1582694400,26300,26300,26300,26300,26364,NaN,NaN,26364,26364,26300,1,8.65,25.21867181565083
1582697400,26260,26260,26260,26260,26357.6,NaN,NaN,NaN,NaN,26260,3,8.75,23.423594107936108
1582697700,26250,26251,26250,26251,26345.888,NaN,NaN,NaN,NaN,26250.5,2,8.2,21.928023680317175
1582699800,26283,26283,26283,26283,26332.46368,NaN,NaN,NaN,NaN,26283,1,8.15,20.779983572666836
1582700400,26243,26243,26234,26234,26320.9187648,NaN,NaN,NaN,NaN,26238.5,3,8.15,19.772158825926343
1582702500,26273,26273,26273,26273,26307.011762432,NaN,NaN,NaN,NaN,26273,1,7.45,18.434837514305404
1582702800,26280,26280,26280,26280,26295.32988044288,NaN,NaN,NaN,NaN,26280,1,7.45,17.319280687204675
1582703100,26285,26285,26285,26285,26285.517099572022,NaN,NaN,NaN,NaN,26285,1,7.45,16.37748823979969
1582704000,26325,26326,26325,26326,26234,26234,26234,NaN,NaN,26325.5,8,7.8,16.23491679240652
1582704300,26343,26343,26343,26343,26243.2,NaN,NaN,NaN,NaN,26343,1,7.65,16.38113188462347
1582704600,26312,26312,26312,26312,26255.176,NaN,NaN,NaN,NaN,26312,2,7.7,15.823123845577461
1582705200,26310,26310,26300,26300,26265.71488,NaN,NaN,NaN,NaN,26305,2,6.5,15.048291791112616
1582705500,26292,26297,26292,26297,26274.9890944,NaN,NaN,NaN,NaN,26294.5,2,5.4,14.154756226615248
1582708500,26000,26083,25920,26083,26343,NaN,NaN,26343,26343,26021.5,9,5.7,16.89945985795231
1582708800,26053,26053,26053,26053,26300.7,NaN,NaN,NaN,NaN,26053,1,5.55,19.448113229908152
1582709100,26088,26088,26088,26088,26262.63,NaN,NaN,NaN,NaN,26088,1,5.45,21.210872410392707
1582709700,26183,26183,26183,26183,26228.367000000002,NaN,NaN,NaN,NaN,26183,1,3.2,21.412815073978503
1582710000,26200,26221,26200,26221,25920,25920,25920,NaN,NaN,26210.5,2,2.45,21.098504623629193
1582710600,26195,26195,26195,26195,25950.1,NaN,NaN,NaN,NaN,26195,1,2.3,20.853841729247268
1582711500,26232,26232,26232,26232,25977.19,NaN,NaN,NaN,NaN,26232,1,2.2,20.12514888166106
1582712400,26238,26238,26238,26238,26007.7672,NaN,NaN,NaN,NaN,26238,1,2.2,19.36699934202888
1582712700,26263,26263,26263,26263,26039.999792,NaN,NaN,NaN,NaN,26263,1,2.1,18.317050495142265
1582713300,26243,26243,26243,26243,26075.67982528,NaN,NaN,NaN,NaN,26243,2,2.1,17.592036447236513
1582714200,26200,26200,26200,26200,26105.6510532352,NaN,NaN,NaN,NaN,26200,1,2.1,17.43260638935303
1582714500,26207,26207,26207,26207,26130.826884717568,NaN,NaN,NaN,NaN,26207,8,2.35,17.172945035862597
1582716300,26275,26283,26275,26283,26151.974583162755,NaN,NaN,NaN,NaN,26279,2,2.4,16.072162885984614
1582717200,26337,26337,26337,26337,26175.55915819346,NaN,NaN,NaN,NaN,26337,1,2.4,15.714610074810654
1582717500,26332,26332,26332,26332,26207.84732655477,NaN,NaN,NaN,NaN,26332,1,2.4,15.308372899785775
1582722000,26311,26311,26311,26311,26233.677861243814,NaN,NaN,NaN,NaN,26311,1,2.05,14.612076075925536
1582726800,26377,26377,26377,26377,26254.342288995053,NaN,NaN,NaN,NaN,26377,1,2.05,14.780481979259067
1582727400,26349,26401,26349,26401,26278.87383119604,NaN,NaN,NaN,NaN,26375,10,2.45,14.499815877832638
1582727700,26393,26422,26393,26422,26303.29906495683,NaN,NaN,NaN,NaN,26407.5,2,2.45,14.497328512884186
1582728000,26499,26499,26499,26499,26327.039251965463,NaN,NaN,NaN,NaN,26499,1,2.4,15.33804425462956
1582730400,26424,26424,26424,26424,26361.431401572372,NaN,NaN,NaN,NaN,26424,1,2,14.97836118349217
1582741800,26341,26341,26335,26335,26499,NaN,NaN,26499,26499,26338,8,2.35,14.268549479228989
1582766100,26133,26173,26120,26168,26482.6,NaN,NaN,NaN,NaN,26148.5,9,2.75,15.411788338584856
1582766400,26169,26169,26146,26169,26439.088,NaN,NaN,NaN,NaN,26163.25,4,2.9,16.473367279415303
1582766700,26173,26173,26126,26126,26400.79744,NaN,NaN,NaN,NaN,26149.5,6,3.1,17.597917457943428
1582767000,26180,26206,26175,26206,26367.1017472,NaN,NaN,NaN,NaN,26191.75,11,3.6,18.19653361867368
1582767300,26112,26147,26099,26110,26337.449537536,NaN,NaN,NaN,NaN,26117,105,8.8,19.306309487750074
1582767600,26135,26185,26135,26185,26304.06660228096,NaN,NaN,NaN,NaN,26160,3,8.9,19.826722913957838
1582767900,26233,26233,26213,26218,26275.357277961626,NaN,NaN,NaN,NaN,26224.25,3,9,19.697608001538953
1582768200,26209,26218,26207,26207,26250.667259046997,NaN,NaN,NaN,NaN,26210.25,7,9.25,19.630616526125475
1582768500,26150,26150,26150,26150,26233,NaN,NaN,NaN,NaN,26150,3,9.35,20.059362159314674
1582768800,26123,26123,26102,26102,26218,NaN,NaN,NaN,NaN,26112.5,47,11.3,20.836006883991868
1582769100,26100,26130,26100,26129,26201.34,NaN,NaN,NaN,NaN,26114.75,3,11.35,21.45367028703924
1582769400,26147,26147,26147,26147,26187.0124,NaN,NaN,NaN,NaN,26147,1,11.35,21.767032311249963
1582770600,26070,26134,26070,26134,26174.690663999998,NaN,NaN,NaN,NaN,26102,4,11.5,22.697174375429466
1582770900,26172,26172,26157,26157,26070,26070,26070,NaN,NaN,26164.5,2,11.55,22.98066905281614
1582771200,26173,26179,26162,26162,26070,NaN,NaN,NaN,NaN,26169,5,11.75,23.13702636124902
1582771500,26141,26141,26110,26110,26083.08,NaN,NaN,NaN,NaN,26125.5,7,11.6,23.743761050805055
1582772400,26111,26139,26111,26139,26094.5904,NaN,NaN,NaN,NaN,26125,3,11.65,24.307157548249943
1582772700,26151,26155,26138,26155,26104.719552000002,NaN,NaN,NaN,NaN,26149.75,8,12,24.549249570294357
1582773000,26173,26173,26159,26159,26111,NaN,NaN,NaN,NaN,26166,2,12.05,24.455256743515367
